temp_array, energy_by_T_array, magnetization_by_T_array, specific_heat_by_T_array, susceptibility_by_T_array
6.000000,-0.568515,0.006574,0.000237,0.001057
5.900000,-0.588554,0.002832,0.000275,0.000938
5.800000,-0.606416,0.006158,0.000279,0.001206
5.700000,-0.591762,0.000554,0.000305,0.001353
5.600000,-0.619366,0.025188,0.000252,0.001122
5.500000,-0.640832,0.003446,0.000339,0.001447
5.400000,-0.659842,0.014990,0.000358,0.001761
5.300000,-0.680238,0.000950,0.000364,0.001852
5.200000,-0.707485,0.004594,0.000399,0.002617
5.100000,-0.726574,0.003584,0.000481,0.002175
5.000000,-0.759208,0.003960,0.000528,0.003355
4.900000,-0.783327,0.007386,0.000469,0.004582
4.800000,-0.820158,0.038574,0.000739,0.006657
4.700000,-0.866059,0.034099,0.000831,0.009336
4.600000,-0.978851,0.088653,0.001653,0.017708
4.500000,-1.067802,0.038040,0.002298,0.030556
4.400000,-1.252475,0.130079,0.002538,0.051679
4.300000,-1.448238,0.573624,0.002622,0.002938
4.200000,-1.626337,0.653743,0.002549,0.001856
4.100000,-1.734931,0.690812,0.003168,0.002128
4.000000,-1.894099,0.747050,0.003336,0.001624
3.900000,-1.992356,0.772416,0.003339,0.001950
3.800000,-2.111921,0.808059,0.004050,0.001902
3.700000,-2.213980,0.834139,0.004424,0.001988
3.600000,-2.317545,0.859168,0.004784,0.001877
3.500000,-2.379960,0.873168,0.005196,0.002205
3.400000,-2.440000,0.887248,0.006169,0.002339
3.300000,-2.519168,0.903426,0.006666,0.002645
3.200000,-2.589584,0.918356,0.006881,0.002761
3.100000,-2.629743,0.927089,0.007833,0.002784
3.000000,-2.688238,0.938297,0.008485,0.002971
2.900000,-2.737030,0.948139,0.009461,0.003097
2.800000,-2.765109,0.953822,0.010267,0.003034
2.700000,-2.800040,0.959802,0.010717,0.003498
2.600000,-2.831762,0.965861,0.012574,0.003524
2.500000,-2.857663,0.970000,0.012208,0.003971
2.400000,-2.873861,0.972950,0.014345,0.004260
2.300000,-2.892990,0.977228,0.016617,0.003800
2.200000,-2.917624,0.981446,0.017489,0.004008
2.100000,-2.927921,0.982931,0.019137,0.004515
2.000000,-2.938455,0.985069,0.021327,0.004415
1.900000,-2.944911,0.986297,0.024425,0.004638
1.800000,-2.954376,0.987703,0.027208,0.005141
1.700000,-2.961861,0.988653,0.028773,0.005636
1.600000,-2.963287,0.989149,0.034884,0.005896
1.500000,-2.965307,0.989406,0.038170,0.006266
1.400000,-2.968554,0.989564,0.044128,0.007281
1.300000,-2.968317,0.989762,0.053278,0.007628
1.200000,-2.970614,0.990178,0.059481,0.008006
1.100000,-2.970139,0.990574,0.073104,0.008043
1.000000,-2.970099,0.990020,0.089407,0.009960
