temp_array, energy_by_T_array, magnetization_by_T_array, specific_heat_by_T_array, susceptibility_by_T_array
6.000000,-0.563604,0.010792,0.000221,0.000974
5.900000,-0.573386,0.013743,0.000279,0.000937
5.800000,-0.576436,0.007089,0.000197,0.001123
5.700000,-0.612673,0.002059,0.000261,0.001580
5.600000,-0.632277,0.004356,0.000328,0.001475
5.500000,-0.640713,0.006475,0.000413,0.001627
5.400000,-0.659723,0.007545,0.000295,0.002006
5.300000,-0.673822,0.006059,0.000353,0.002219
5.200000,-0.710495,0.010990,0.000372,0.002969
5.100000,-0.716277,0.008713,0.000476,0.002254
5.000000,-0.755921,0.001050,0.000501,0.003306
4.900000,-0.782059,0.003683,0.000606,0.004881
4.800000,-0.828396,0.044970,0.000774,0.007527
4.700000,-0.891723,0.022238,0.001055,0.011236
4.600000,-1.000396,0.078158,0.001570,0.021906
4.500000,-1.055287,0.044535,0.001903,0.027758
4.400000,-1.297941,0.500752,0.002861,0.004404
4.300000,-1.474099,0.587822,0.002553,0.002579
4.200000,-1.607050,0.645248,0.003186,0.002176
4.100000,-1.757030,0.701010,0.003023,0.001917
4.000000,-1.927881,0.754238,0.003497,0.001957
3.900000,-1.987287,0.771465,0.003777,0.002220
3.800000,-2.116792,0.808218,0.004353,0.002062
3.700000,-2.199842,0.828772,0.004318,0.001899
3.600000,-2.301307,0.854475,0.004795,0.002292
3.500000,-2.361228,0.867802,0.005104,0.002570
3.400000,-2.438891,0.887129,0.005884,0.002183
3.300000,-2.508594,0.902139,0.006236,0.002293
3.200000,-2.570218,0.914040,0.007118,0.002734
3.100000,-2.633505,0.928119,0.007818,0.002559
3.000000,-2.672871,0.935545,0.008376,0.002979
2.900000,-2.724396,0.945505,0.009119,0.003024
2.800000,-2.768911,0.953901,0.009909,0.003267
2.700000,-2.800713,0.960198,0.011372,0.003305
2.600000,-2.832000,0.965881,0.012061,0.003454
2.500000,-2.855089,0.970000,0.012930,0.003649
2.400000,-2.881188,0.974594,0.013790,0.003925
2.300000,-2.902178,0.978495,0.016134,0.003993
2.200000,-2.912238,0.979960,0.017340,0.004483
2.100000,-2.923525,0.982614,0.020212,0.004204
2.000000,-2.448238,0.000119,0.014847,0.000180
1.900000,-2.950059,0.986891,0.024369,0.004924
1.800000,-2.510020,0.000871,0.019699,0.000042
1.700000,-2.957663,0.988634,0.032485,0.005207
1.600000,-2.964079,0.988772,0.033166,0.006362
1.500000,-2.967129,0.989426,0.037477,0.006580
1.400000,-2.559129,0.198871,0.032565,0.000197
1.300000,-2.565307,0.197347,0.038984,0.000468
1.200000,-2.969188,0.990079,0.062889,0.008005
1.100000,-2.969505,0.990158,0.075653,0.008734
1.000000,-2.970772,0.990277,0.085426,0.009453
