temp_array, energy_by_T_array, magnetization_by_T_array
0.100000,-3.000000,-1.000000
0.200000,-3.000000,-1.000000
0.300000,-3.000000,-1.000000
0.400000,-3.000000,-1.000000
0.500000,-3.000000,-1.000000
0.600000,-3.000000,-1.000000
0.700000,-3.000000,-1.000000
0.800000,-3.000000,-1.000000
0.900000,-3.000000,-1.000000
1.000000,-2.999881,-0.999980
1.100000,-2.999881,-0.999980
1.200000,-2.999644,-0.999941
1.300000,-2.998574,-0.999762
1.400000,-2.996436,-0.999406
1.500000,-2.995960,-0.999327
1.600000,-2.993703,-0.998950
1.700000,-2.988990,-0.998139
1.800000,-2.983010,-0.997149
1.900000,-2.979248,-0.996515
2.000000,-2.966812,-0.994396
2.100000,-2.954139,-0.992198
2.200000,-2.938851,-0.989545
2.300000,-2.930614,-0.988040
2.400000,-2.899287,-0.982515
2.500000,-2.885545,-0.979980
2.600000,-2.851723,-0.973901
2.700000,-2.832158,-0.969980
2.800000,-2.795960,-0.963109
2.900000,-2.763762,-0.957168
3.000000,-2.716950,-0.948297
3.100000,-2.660871,-0.936950
3.200000,-2.607446,-0.925703
3.300000,-2.545743,-0.912812
3.400000,-2.485624,-0.899802
3.500000,-2.403802,-0.881050
3.600000,-2.315446,-0.860277
3.700000,-2.229980,-0.840178
3.800000,-2.163723,-0.820891
3.900000,-2.047089,-0.791168
4.000000,-1.893980,-0.744970
4.100000,-1.807050,-0.719842
4.200000,-1.661030,-0.667446
4.300000,-1.524158,-0.611168
4.400000,-1.315248,-0.050515
4.500000,-1.138455,0.243644
4.600000,-0.988317,0.036376
4.700000,-0.902257,0.003386
4.800000,-0.861861,-0.010614
4.900000,-0.803287,-0.024040
5.000000,-0.790812,-0.000376
5.100000,-0.759644,-0.020020
5.200000,-0.731485,-0.016614
5.300000,-0.705861,-0.027881
5.400000,-0.680277,-0.027347
5.500000,-0.655564,-0.012020
5.600000,-0.654099,-0.020158
5.700000,-0.644436,-0.016317
5.800000,-0.610614,-0.014950
5.900000,-0.616832,-0.008752
6.000000,-0.589030,-0.002000
