temp_array, energy_by_T_array, magnetization_by_T_array
10.000000,-0.556634,-0.009604
9.500000,-0.582653,-0.013901
9.000000,-0.598099,-0.003960
8.500000,-0.613584,0.006515
8.000000,-0.656079,-0.014079
7.500000,-0.688277,0.004376
7.000000,-0.721584,-0.025525
6.500000,-0.786178,0.007485
6.000000,-0.890812,0.105604
5.500000,-1.092950,0.337584
5.000000,-1.452277,0.603030
4.500000,-1.802416,0.728356
4.000000,-2.151644,-0.823901
3.500000,-2.446455,-0.889683
3.000000,-2.696911,-0.940376
2.500000,-2.851960,-0.969168
2.000000,-2.939960,0.985149
1.500000,-2.967287,0.989921
1.000000,-2.969901,0.990297
0.500000,-2.969386,-0.989881
