temp_array, energy_by_T_array, magnetization_by_T_array, specific_heat_by_T_array, susceptibility_by_T_array
6.000000,-0.579406,0.004099,0.000207,0.001023
5.900000,-0.573703,0.004297,0.000238,0.001044
5.800000,-0.592713,0.000950,0.000268,0.001164
5.700000,-0.607564,0.015980,0.000217,0.001179
5.600000,-0.624436,0.006535,0.000233,0.001320
5.500000,-0.640396,0.008356,0.000288,0.001793
5.400000,-0.668950,0.005089,0.000322,0.001760
5.300000,-0.691723,0.004713,0.000344,0.002071
5.200000,-0.697941,0.009703,0.000404,0.001858
5.100000,-0.712832,0.004436,0.000459,0.003087
5.000000,-0.746178,0.002911,0.000460,0.002741
4.900000,-0.785228,0.012851,0.000714,0.005968
4.800000,-0.832871,0.008396,0.000669,0.006357
4.700000,-0.872515,0.014277,0.000787,0.008831
4.600000,-0.942614,0.061505,0.001418,0.015663
4.500000,-1.061149,0.238040,0.002137,0.019151
4.400000,-1.269743,0.074693,0.003009,0.055716
4.300000,-1.453228,0.195307,0.003285,0.072032
4.200000,-1.604277,0.648475,0.002739,0.001833
4.100000,-1.746416,0.698752,0.003219,0.001695
4.000000,-1.889386,0.744257,0.003313,0.001760
3.900000,-2.028475,0.782832,0.003785,0.002024
3.800000,-2.114020,0.806891,0.004115,0.002065
3.700000,-2.212277,0.832614,0.004563,0.002273
3.600000,-2.292515,0.853010,0.004921,0.001754
3.500000,-2.372277,0.871386,0.005887,0.002471
3.400000,-2.444554,0.887406,0.005732,0.002422
3.300000,-2.520396,0.903743,0.006435,0.002589
3.200000,-2.570337,0.914297,0.007158,0.002762
3.100000,-2.615723,0.923842,0.007831,0.002749
3.000000,-2.694218,0.939604,0.008330,0.002988
2.900000,-2.731960,0.947050,0.009745,0.003113
2.800000,-2.746257,0.950119,0.009732,0.002868
2.700000,-2.799881,0.959505,0.010772,0.003618
2.600000,-2.827248,0.964713,0.012696,0.003750
2.500000,-2.858376,0.970713,0.013917,0.003609
2.400000,-2.874020,0.973525,0.014476,0.003802
2.300000,-2.901030,0.978317,0.015921,0.004023
2.200000,-2.909901,0.979465,0.017215,0.004482
2.100000,-2.930455,0.983426,0.019356,0.004500
2.000000,-2.936000,0.984594,0.022434,0.004621
1.900000,-2.948515,0.986574,0.023583,0.004861
1.800000,-2.954614,0.988238,0.024865,0.004406
1.700000,-2.959683,0.988653,0.031756,0.005498
1.600000,-2.963644,0.989327,0.035738,0.005825
1.500000,-2.966970,0.989604,0.038825,0.006424
1.400000,-2.967802,0.989762,0.044957,0.006885
1.300000,-2.969822,0.990495,0.049834,0.006660
1.200000,-2.970970,0.990158,0.057083,0.007973
1.100000,-2.969386,0.990495,0.076248,0.008144
1.000000,-2.970059,0.990416,0.088215,0.009109
0.900000,-2.970772,0.990396,0.104602,0.010206
0.800000,-2.969505,0.990356,0.145304,0.011625
0.700000,-2.969347,0.990495,0.191762,0.012906
0.600000,-2.970416,0.990337,0.243117,0.015563
0.500000,-2.391802,0.296634,0.225784,0.001907
0.400000,-2.970851,0.990574,0.531022,0.022211
0.300000,-2.971366,0.990119,0.910985,0.032546
0.200000,-2.452317,0.004772,1.402231,0.000059
0.100000,-2.811287,0.910772,8.244290,0.085151
