temp_array, energy_by_T_array, magnetization_by_T_array
0.100000,-3.000000,1.000000
0.200000,-3.000000,1.000000
0.300000,-3.000000,1.000000
0.400000,-3.000000,1.000000
0.500000,-3.000000,1.000000
0.600000,-3.000000,1.000000
0.700000,-3.000000,1.000000
0.800000,-3.000000,1.000000
0.900000,-3.000000,1.000000
1.000000,-2.999762,0.999960
1.100000,-2.999525,0.999921
1.200000,-2.999406,0.999901
1.300000,-2.999168,0.999861
1.400000,-2.997149,0.999525
1.500000,-2.996554,0.999426
1.600000,-2.992000,0.998653
1.700000,-2.990099,0.998337
1.800000,-2.983446,0.997208
1.900000,-2.977743,0.996277
2.000000,-2.967762,0.994535
2.100000,-2.952238,0.991861
2.200000,-2.942812,0.990198
2.300000,-2.923327,0.986752
2.400000,-2.910693,0.984475
2.500000,-2.883960,0.979624
2.600000,-2.857901,0.974871
2.700000,-2.833861,0.970178
2.800000,-2.804594,0.964950
2.900000,-2.756475,0.955287
3.000000,-2.720396,0.949545
3.100000,-2.662653,0.937525
3.200000,-2.610614,0.926198
3.300000,-2.555010,0.915050
3.400000,-2.465980,0.895782
3.500000,-2.394535,0.879366
3.600000,-2.315881,0.859960
3.700000,-2.251683,0.843980
3.800000,-2.127683,0.813129
3.900000,-2.026416,0.785485
4.000000,-1.925505,0.757030
4.100000,-1.794337,0.715129
4.200000,-1.651921,0.659584
4.300000,-1.461188,0.070455
4.400000,-1.291050,0.054614
4.500000,-1.138178,0.015564
4.600000,-0.969228,0.092356
4.700000,-0.917228,-0.084970
4.800000,-0.854733,0.018178
4.900000,-0.804554,0.004158
5.000000,-0.793307,0.019089
5.100000,-0.745228,0.008812
5.200000,-0.723960,0.005406
5.300000,-0.711406,-0.002139
5.400000,-0.680554,0.011307
5.500000,-0.686614,0.035564
5.600000,-0.653941,0.003980
5.700000,-0.640238,0.004990
5.800000,-0.623089,0.006475
5.900000,-0.608950,0.013624
6.000000,-0.600396,0.024119
