temp_array, energy_by_T_array, magnetization_by_T_array
0.100000,-2.811089,0.911465
0.200000,-2.969663,-0.989960
0.300000,-2.970455,-0.990059
0.400000,-2.463485,0.450178
0.500000,-2.969584,-0.990139
0.600000,-2.969505,0.989941
0.700000,-2.970297,0.989861
0.800000,-2.971327,-0.990000
0.900000,-2.969980,0.990218
1.000000,-2.969109,0.990376
1.100000,-2.969901,0.990475
1.200000,-2.969386,-0.989822
1.300000,-2.969188,0.989842
1.400000,-2.968119,0.989941
1.500000,-2.964911,0.989960
1.600000,-2.962218,0.989109
1.700000,-2.961069,0.988554
1.800000,-2.954059,-0.986990
1.900000,-2.941584,-0.985287
2.000000,-2.938812,-0.984634
2.100000,-2.929465,0.983347
2.200000,-2.915683,0.979980
2.300000,-2.896832,-0.977822
2.400000,-2.868515,0.972020
2.500000,-2.852356,-0.969762
2.600000,-2.821307,-0.963881
2.700000,-2.787406,0.957208
2.800000,-2.771960,0.954713
2.900000,-2.734614,-0.947188
3.000000,-2.679287,-0.937208
3.100000,-2.639168,-0.928337
3.200000,-2.574693,-0.915386
3.300000,-2.521782,-0.903604
3.400000,-2.457743,0.890495
3.500000,-2.375802,-0.872198
3.600000,-2.322416,-0.859069
3.700000,-2.217822,0.834297
3.800000,-2.103208,0.806079
3.900000,-2.020990,0.782416
4.000000,-1.884277,0.742000
4.100000,-1.770772,0.706792
4.200000,-1.613069,0.651624
4.300000,-1.456594,-0.590911
4.400000,-1.286099,0.205030
4.500000,-1.048950,0.056099
4.600000,-0.931129,-0.065842
4.700000,-0.887287,0.099426
4.800000,-0.823168,0.028515
4.900000,-0.786059,0.021822
5.000000,-0.740000,0.019030
5.100000,-0.703208,-0.011901
5.200000,-0.713545,-0.023743
5.300000,-0.671366,-0.001545
5.400000,-0.663921,-0.007842
5.500000,-0.649663,0.002950
5.600000,-0.631208,-0.001208
5.700000,-0.611881,0.007267
5.800000,-0.582455,0.006970
5.900000,-0.565149,0.004297
6.000000,-0.559881,0.007109
