temp_array, energy_by_T_array, magnetization_by_T_array
0.100000,-3.000000,-1.000000
0.200000,-3.000000,-1.000000
0.300000,-3.000000,-1.000000
0.400000,-3.000000,-1.000000
0.500000,-3.000000,-1.000000
0.600000,-3.000000,-1.000000
0.700000,-3.000000,-1.000000
0.800000,-3.000000,-1.000000
0.900000,-3.000000,-1.000000
1.000000,-3.000000,-1.000000
1.100000,-3.000000,-1.000000
1.200000,-3.000000,-1.000000
1.300000,-2.997818,-0.999636
1.400000,-2.996727,-0.999455
1.500000,-2.993455,-0.998909
1.600000,-2.998909,-0.999818
1.700000,-2.990182,-0.998364
1.800000,-2.982545,-0.997091
1.900000,-2.968727,-0.994727
2.000000,-2.971636,-0.995091
2.100000,-2.960364,-0.993273
2.200000,-2.947636,-0.990909
2.300000,-2.935273,-0.988909
2.400000,-2.912364,-0.985091
2.500000,-2.905455,-0.983636
2.600000,-2.851273,-0.973455
2.700000,-2.826909,-0.969455
2.800000,-2.797455,-0.964000
2.900000,-2.782909,-0.959818
3.000000,-2.756364,-0.955636
3.100000,-2.691273,-0.942364
3.200000,-2.586182,-0.920727
3.300000,-2.605818,-0.924545
3.400000,-2.499273,-0.902545
3.500000,-2.448727,-0.889455
3.600000,-2.343273,-0.865818
3.700000,-2.335273,-0.862545
3.800000,-2.194545,-0.827273
3.900000,-2.181818,-0.823091
4.000000,-2.074182,-0.793455
4.100000,-1.908364,-0.746909
4.200000,-1.831273,-0.716182
4.300000,-1.562182,-0.616000
4.400000,-1.382545,-0.507818
4.500000,-1.304000,-0.451273
4.600000,-1.113091,-0.190364
4.700000,-1.044000,-0.159091
4.800000,-1.035636,-0.082000
4.900000,-1.014182,0.020545
5.000000,-0.986182,-0.127818
5.100000,-0.940000,-0.082727
5.200000,-0.945091,-0.043636
5.300000,-0.915273,-0.023273
5.400000,-0.888727,-0.094182
5.500000,-0.868727,-0.093455
5.600000,-0.817818,-0.094727
5.700000,-0.846182,-0.096000
5.800000,-0.808364,-0.093273
5.900000,-0.740727,-0.091455
6.000000,-0.778545,-0.086909
6.100000,-0.806909,-0.107273
6.200000,-0.770545,-0.080364
6.300000,-0.759273,-0.102000
6.400000,-0.739273,-0.087455
6.500000,-0.766545,-0.095636
6.600000,-0.710545,-0.099091
6.700000,-0.683636,-0.112182
6.800000,-0.732727,-0.118909
6.900000,-0.689455,-0.099818
7.000000,-0.715636,-0.075818
7.100000,-0.698182,-0.077273
7.200000,-0.680364,-0.113091
7.300000,-0.672364,-0.098909
7.400000,-0.659636,-0.089636
7.500000,-0.671273,-0.096364
7.600000,-0.684364,-0.083091
7.700000,-0.636364,-0.098364
7.800000,-0.675636,-0.071091
7.900000,-0.639636,-0.104182
8.000000,-0.641455,-0.069636
8.100000,-0.604727,-0.106364
8.200000,-0.643636,-0.100909
8.300000,-0.646545,-0.129273
8.400000,-0.615273,-0.091091
8.500000,-0.577818,-0.113455
8.600000,-0.581455,-0.083818
8.700000,-0.588727,-0.122000
8.800000,-0.594545,-0.085273
8.900000,-0.590182,-0.093273
9.000000,-0.615273,-0.093455
9.100000,-0.581455,-0.080909
9.200000,-0.592364,-0.079091
9.300000,-0.603273,-0.077818
9.400000,-0.586909,-0.082909
9.500000,-0.572364,-0.095455
9.600000,-0.574545,-0.078182
9.700000,-0.590545,-0.086182
9.800000,-0.562545,-0.087273
9.900000,-0.560364,-0.098909
10.000000,-0.540000,-0.097091
