temp_array, energy_by_T_array, magnetization_by_T_array
6.000000,-0.569861,-0.005386
5.900000,-0.585228,-0.003941
5.800000,-0.602337,-0.005406
5.700000,-0.605980,0.006871
5.600000,-0.621267,0.003762
5.500000,-0.636238,0.006515
5.400000,-0.646931,0.006455
5.300000,-0.680356,-0.008574
5.200000,-0.713901,0.027129
5.100000,-0.722653,-0.014000
5.000000,-0.757426,-0.001980
4.900000,-0.775723,0.010475
4.800000,-0.816673,0.009822
4.700000,-0.859604,-0.008693
4.600000,-0.950139,-0.006990
4.500000,-1.074020,-0.099426
4.400000,-1.250099,0.105980
4.300000,-1.478812,-0.588396
4.200000,-1.631564,0.656059
4.100000,-1.765267,0.702574
4.000000,-1.909743,-0.752059
3.900000,-1.990812,0.775881
3.800000,-2.091446,-0.801050
3.700000,-2.213149,-0.833307
3.600000,-2.301109,-0.855446
3.500000,-2.374337,-0.872020
3.400000,-2.447485,-0.888198
3.300000,-2.503406,-0.900812
3.200000,-2.584554,-0.917842
3.100000,-2.634653,-0.927703
3.000000,-2.683287,0.938238
2.900000,-2.716752,-0.943842
2.800000,-2.755406,-0.952000
2.700000,-2.801545,-0.960119
2.600000,-2.826218,-0.964396
2.500000,-2.861386,-0.971069
2.400000,-2.874891,0.973861
2.300000,-2.898812,0.977921
2.200000,-2.917505,0.981347
2.100000,-2.928554,-0.983327
2.000000,-2.940396,-0.984634
1.900000,-2.949624,-0.986277
1.800000,-2.953505,-0.987386
1.700000,-2.961703,0.988614
1.600000,-2.964000,-0.989347
1.500000,-2.966812,-0.989980
1.400000,-2.968634,0.989980
1.300000,-2.969743,-0.990198
1.200000,-2.969505,-0.989901
1.100000,-2.969228,0.990475
1.000000,-2.969901,0.990376
0.900000,-2.573703,-0.198376
0.800000,-2.573782,0.198238
0.700000,-2.970297,-0.990178
0.600000,-2.970178,-0.990752
0.500000,-2.969941,-0.990455
0.400000,-2.969228,0.990515
0.300000,-2.970535,-0.990436
0.200000,-2.573624,0.198238
0.100000,-2.613149,0.704871
