temp_array, energy_by_T_array, magnetization_by_T_array
10.000000,-0.583248,0.017050
9.500000,-0.598495,0.009050
9.000000,-0.624436,-0.009347
8.500000,-0.651248,0.003406
8.000000,-0.669782,0.011327
7.500000,-0.714099,0.023941
7.000000,-0.742891,0.007248
6.500000,-0.798535,-0.029782
6.000000,-0.915525,0.079149
5.500000,-1.149861,-0.065960
5.000000,-1.486099,0.614495
4.500000,-1.842772,0.741663
4.000000,-2.174416,0.830475
3.500000,-2.489109,0.902495
3.000000,-2.721386,0.949069
2.500000,-2.890772,0.980990
2.000000,-2.966337,0.994297
1.500000,-2.994653,0.999109
1.000000,-2.999762,0.999960
0.500000,-3.000000,1.000000
